T32013,T32011,T32010,T32014,T32008,T32006,T32004,T32001,T32012,T32005,T32009,T32002,T32003,origin_address
2407,2613,3143,3593,900,2318,1887,91,2322,1573,3325,1979,1349,"10 Blaney St, Salem, MA 01970, USA"
2850,3263,3859,3565,1342,2968,2537,1268,2294,2015,3975,1951,1792,"10 Blaney St, Salem, MA 01970, USA"
653,1042,3346,699,2337,2454,1638,2814,1361,1274,3462,4329,2036,"Mack Park, 31 Grove St, Salem, MA 01970, USA"
685,1074,3377,739,2369,2486,1670,2845,1393,1246,3493,4300,2067,"58 Mason St, Salem, MA 01970, USA"
745,1134,3207,1010,2198,2315,1489,2675,980,645,3322,3700,1897,"32 Commercial St, Salem, MA 01970, USA"
907,1296,3599,1172,2591,2708,1892,3067,734,399,3715,3454,2289,"73R North St, Salem, MA 01970, USA"
1096,1841,2868,1417,1690,1977,1271,2293,786,451,2984,3506,1515,"252 Bridge St, Salem, MA 01970, USA"
1177,1578,2544,1498,1147,1652,852,1599,227,149,2660,2962,1120,"190 Bridge St, Salem, MA 01970, USA"
1584,2262,2859,1906,1016,1967,1537,1468,635,557,2975,2937,1028,"22 Howard St, Salem, MA 01970, USA"
1731,1929,2526,2335,545,1634,1204,996,1064,897,2642,2241,695,"25 Washington Square, Salem, MA 01970, USA"
1998,2169,2766,2546,491,1874,1444,961,1275,1164,2882,2187,940,"8 Boardman St, Salem, MA 01970, USA"
2125,2330,2861,2719,617,2035,1604,543,1448,1290,3042,1788,1067,"5 Becket St, Salem, MA 01970, USA"
2615,2966,3562,3268,1108,2671,2240,471,1997,1781,3678,1654,1557,"48 Derby St, Salem, MA 01970, USA"
2751,3164,3760,3466,1243,2869,2438,1169,2195,1916,3876,1852,1693,"23 Derby St, Salem, MA 01970, USA"
970,1671,3662,794,2654,2771,1955,3130,1677,1591,3778,4645,2352,"52 Tremont St, Salem, MA 01970, USA"
1085,1474,3425,1139,2417,2534,1707,2893,1265,1282,3541,4337,2115,"53 Barstow St, Salem, MA 01970, USA"
1307,1680,3134,1184,2125,2242,1416,2602,974,991,3250,4046,1824,"7 Buffum St, Salem, MA 01970, USA"
1188,1577,3251,1242,2242,2360,1533,2719,1091,1108,3367,4163,1941,"94 North St, Salem, MA 01970, USA"
1239,1984,3011,1560,1833,2120,1414,2436,929,594,3127,3648,1658,"20R Franklin St, Salem, MA 01970, USA"
1706,2107,3150,2027,1307,2258,1381,1759,756,678,3265,3123,1319,"Unnamed Road, Salem, MA 01970, USA"
1575,2342,2938,1896,984,2047,1616,1474,625,547,3054,2424,1107,"150 Bridge St, Salem, MA 01970, USA"
1967,2165,2761,2153,712,1870,1439,1182,882,1132,2877,2523,931,"26-28 Pleasant St, Salem, MA 01970, USA"
2086,2284,2880,2396,743,1989,1558,1213,1125,1251,2996,1874,1050,"26 Andrew St, Salem, MA 01970, USA"
2278,2576,3172,2879,770,2281,1850,696,1608,1443,3288,1582,1220,"36-40 Webb St, Salem, MA 01970, USA"
2577,2903,3313,3205,1070,2607,2177,996,1934,1742,3615,1552,1519,"12 Lee Fort Terrace, Salem, MA 01970, USA"
2716,3066,3663,3369,1208,2771,2341,1134,2098,1881,3778,1414,1658,"24 Fort Ave, Salem, MA 01970, USA"
1372,1866,3915,989,2906,3024,2197,3383,1755,1772,4031,4827,2605,"9 Chandler St, Salem, MA 01970, USA"
1728,2100,3554,1151,2546,2663,1836,3022,1394,1412,3670,4466,2244,"36 School St, Salem, MA 01970, USA"
1374,1746,3200,1484,2192,2309,1482,2668,1040,1057,3316,4112,1890,"North St opp Dearborn St, Salem, MA 01970, USA"
1389,1762,3216,1500,2207,2324,1498,2683,1347,1012,3331,4066,1906,"4 Harris St, Salem, MA 01970, USA"
1421,2165,3193,1742,2015,2302,1596,2618,1111,776,3309,3830,1840,"39 Franklin St, Salem, MA 01970, USA"
1617,2018,3061,1939,1219,2169,1292,1670,668,590,3177,3034,1230,"14 Woodbury Ct, Salem, MA 01970, USA"
1838,2477,3073,2159,1219,2182,1751,1536,888,810,3189,2422,1243,"19 Lemon St, Salem, MA 01970, USA"
2057,2674,3270,2379,1270,2379,1948,1196,1108,1030,3386,2082,1439,"113 1/2 Bridge St, Salem, MA 01970, USA"
2310,2508,3104,2544,1105,2213,1782,1031,1273,1475,3220,1916,1274,"98 Collins St, Salem, MA 01970, USA"
2416,2622,3152,3069,909,2327,1896,835,1798,1582,3334,1387,1358,"40R Webb St, Salem, MA 01970, USA"
2554,2760,3290,3208,1047,2465,2034,973,1936,1720,3472,1253,1496,"4 Szetela Ln, Salem, MA 01970, USA"
2859,3210,3806,3512,1352,2915,2484,1278,2241,2025,3922,1375,1801,"7 Victory Rd, Salem, MA 01970, USA"
